Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,emotion
41,Not Half Bad,We're Going To Hell,47tWBYs1sGtVQdSFhYgF1X,32,2012,acoustic,1.287751512,-0.431310793,0,-7.462,1,0.0381,0.70273841,-0.691228709,0.64147178,0.117073353,81.037,142240,4,Sad
42,Boyce Avenue,What Makes You Beautiful,1jseyXx3Q0Vfjr5Z6jiUnU,42,2012,acoustic,-0.430610969,-1.348128905,5,-8.241,1,0.0365,1.423891455,-0.691228709,-0.243789343,-0.95175285,114.158,208893,4,Happy
43,A Fine Frenzy,Now Is The Start,3gEyA6UtRSk1058sev61D6,30,2012,acoustic,0.116879916,0.52247579,1,-6.805,1,0.0332,-0.902277838,-0.5945357,-0.606845871,-0.851201256,114.962,286429,4,Intense
44,Jason Mraz,The World as I See It,2ORU4XRGqFjPB2mTft0VPj,32,2012,acoustic,0.192769741,0.396782985,10,-7.011,1,0.0316,-0.443782253,-0.691228709,-0.392990656,0.031418291,119.012,239156,4,Intense
45,Get Dead,Fuck You,5DUAKXpyv3nL50PnAQbPS0,32,2012,acoustic,0.382494306,1.025247013,11,-5.341,1,0.0601,-0.240957959,-0.691228709,-0.462617935,1.78920912,117.875,169267,4,Sad
46,Harley Poe,Taxidermy Girl,7pmbRTdvcjnCKJF7WyHzmE,31,2012,acoustic,-1.091936593,-1.026503196,7,-10.046,1,0.0336,0.31680885,-0.690837006,-0.502404952,-0.002098907,175.228,278707,3,Happy
47,Sara Bareilles,Sweet As Whole,04BcODyhCDTV7SBFeJHOXe,32,2012,acoustic,-0.576969919,-1.063471669,8,-9.335,1,0.0275,1.184446108,-0.691228709,-0.373097147,-0.780442727,94.915,277547,3,Happy
48,Chad Hates George,"Shooting Up, Breaking Down (feat. Jesse Sendejas)",1gIXgeL8KPbRCnWvPfZyUJ,30,2012,acoustic,-0.267989914,0.640774901,0,-7.12,1,0.286,1.063314933,-0.691228709,0.248574989,0.474590132,162.285,208666,4,Sad
49,Taj Mahal,Shady Grove,6MVmw9Ea73B1XQjbAu6uuw,33,2012,acoustic,0.236135356,-0.331495918,1,-11.719,1,0.0394,1.567558664,1.341241911,-0.552138723,0.761348381,126.128,565787,4,Happy
50,David Ramirez,Find the Light,7jhcBzFm4W2UpFPa9fZFlR,31,2012,acoustic,0.431280622,-1.880474905,11,-12.775,1,0.0331,1.637983766,-0.689760509,-0.586952362,-0.229271026,129.31,197253,4,Happy
51,Ichiko Aoba,kanashii yume o mitara,52RSwU0HHP9ugX2K7j8iar,34,2012,acoustic,-0.34387974,-2.226499805,5,-20.324,1,0.0479,1.891514133,-0.633705956,-0.601872493,-0.862373655,135.099,179787,5,Happy
52,Ichiko Aoba,hikari no furusato,7c59LJZv6klezUN3jRCXE6,35,2012,acoustic,-0.723328868,-2.206906515,3,-19.076,1,0.0397,1.883063121,-0.077652673,-0.685425229,-1.022511379,74.137,192147,4,Happy
53,Amos Lee,Simple Things,0GK6pzHhJNuxRPOULLPFo6,33,2012,acoustic,-0.213782896,-1.736297863,10,-11.818,1,0.0341,1.598545709,-0.68969203,-0.612813923,-1.082097509,131.976,201360,4,Happy
54,Jason Mraz,The Freedom Song,7hevpquSrhFLsEUzbDFrWB,33,2012,acoustic,0.669791503,0.197153235,6,-7.562,0,0.0578,-0.660128167,-0.691228709,-0.681446527,1.461485406,94.045,239987,4,Sad
55,Steve Petrunak,Walking in a Winter Wonderland,3mng76g6guqrd0Lb9gJ0LX,32,2012,acoustic,-0.105368859,-1.370309988,7,-11.957,1,0.0498,1.714042876,1.656247465,-0.537218591,-0.370788085,116.262,134120,4,Happy
56,Kris Allen,Better with You,77xgXc56h19AhTLKrWcijW,42,2012,acoustic,1.054661333,0.267393332,0,-5.672,1,0.0252,-0.426880228,-0.691228709,-0.70681075,1.17845129,101.005,194147,4,Sad
57,Steve Petrunak,Silver Bells,7HKRdvf1PWH1Ml7xJzV2NV,31,2012,acoustic,-1.064833084,-1.732601016,1,-15.618,1,0.0485,1.643617774,1.798684759,-0.482511443,-0.132443566,89.618,160040,3,Happy
58,Boyce Avenue,Glad You Came,4LlCL8KQCa5CNStnDg4eSA,40,2012,acoustic,1.000454315,-0.361070696,6,-8.703,0,0.0371,-0.525475371,-0.691228709,-0.273629605,-0.043064371,125.998,195933,4,Sad
59,Boyce Avenue,Superman,6AyGrpqr2TeGCTXj1nuzbv,41,2012,acoustic,0.268659567,-1.592120822,9,-10.426,1,0.0304,1.232335178,-0.691228709,-0.547165345,-0.776718594,105.669,194093,4,Happy
